What is your opinion for Online Learning Implementation during COVID-19?,Subjectivity,Polarity,Sentiment
improve technical skill and flexible where customer can participate in class from anywhere long  have internet connection,0.25,-0.025,Negative
add feature like have topic of module to let student search for video easily,0.8333333333333334,0.43333333333333335,Positive
more effective to learn,0.65,0.55,Positive
good make flexible and not waste time in class,0.30000000000000004,0.39999999999999997,Positive
difficult for people who live at different time zone,0.7000000000000001,-0.12121212121212122,Negative
still able to learn,0.625,0.5,Positive
not bad but lack of interaction between lecturer and student make lecturer unable to know if student really understand class or not,0.4555555555555555,0.016666666666666646,Positive
have friendly hour to cater for all time zone,0.5,0.375,Positive
this have own pro and con save travel time but at cost of socialisation well to be on campus than sit on laptop for hour straight due to class have bad impact on health too especially eye and back,0.5736111111111111,-0.004166666666666634,Negative
not effective face to face class,0.8,-0.3,Negative
good for now hope lecturer can improve  connection,0.6000000000000001,0.7,Positive
less interaction with lecturer,0.06666666666666667,-0.16666666666666666,Negative
not good normal class,0.625,-0.09999999999999999,Negative
base on experience and situation can say that be pretty difficult to consistently attend class and focus during class but in opinion that online learning implementation wise move for short period of time but should not be permanent thing at same time student should receive some sort of rebate for  fee class be no longer hold physically during pandemic period,0.5897321428571429,-0.012500000000000011,Negative
student hard to fix problem  face by ask teacher online,0.5416666666666666,-0.2916666666666667,Negative
troublesome but help finish course win win,0.4,0.8,Positive
not bad new concept for both student and lecturer both side be still try to adapt to this method learn and teach with use of microsoft team by communication between lecturer and student very convenient,0.47373737373737373,0.22878787878787876,Positive
believe that online learning have up and down but focus on positive side would say that if learn session record for online learning then student will have opportunity to rewatch session many time possible which can definitely help  to further understand topic or module which  be currently study,0.5334776334776336,0.08167388167388166,Positive
somwhow good session could be record to help with difficulty in understand material in class,0.6000000000000001,0.7,Positive
could have be amazing experience if university have ensure that lecturer have stable connection and be able to navigate easily with process,0.7861111111111111,0.5111111111111112,Positive
quite new experience good to implement online learning during covid because progress will not be affect and there video to rewatch again if  do not understand some of topic,0.5272727272727273,0.41818181818181815,Positive
personally love online learn much  can rewatch recording video after class and  can do anything  want to do during spare time  can attend class anywhere,0.4,0.35,Positive
good enough for now more interactivity between student and teacher would be good though,0.55,0.475,Positive
little troublesome,0.5,-0.1875,Negative
sufficient for adapt to situation for now although can not say satisfied with tuition fee still be same amount before there clearly have be significant change in method of teaching and evaluation well overall delivery of course,0.4766666666666667,0.195,Positive
futuristic learning method before pandemic occur however sudden change from physical to online class really hard to adapt in understand subject,0.37946428571428564,-0.11458333333333334,Negative
online learn good alternative in term of learn method all class be record and can be view again if anything be miss however there be also more distraction and external factor which could disrupt online learning that would not be issue for face to face class,0.4000000000000001,0.39999999999999997,Positive
awesome since take class on bed without take smuggling and stinky bus winking face with tongue,1.0,1.0,Positive
fresh thing for everyone and can be improve,0.5,0.3,Positive
good thing since in digital age but still do not learn best do remotely,0.275,0.39999999999999997,Positive
stay strong,0.7333333333333333,0.4333333333333333,Positive
can be great give that more user friendly than mircrosoft team,0.5833333333333334,0.5583333333333333,Positive
great for some module while other be not,0.5625,0.3375,Positive
there be no other choice situation have force all institute to use online platform,0.375,0.0625,Positive
well than face to face learn because  be able to rewatch lecture and  can learn in comfortable environment,0.7125,0.45,Positive
online learning can be make well by make sure that there more available information that can be access,0.5962962962962962,0.4666666666666666,Positive
far fine but still do not feel much compare to face to face,0.5666666666666667,0.23888888888888893,Positive
good substitute for face to face class,0.6000000000000001,0.7,Positive
lack previous interaction in class and learn among peer and team be not right tool to facilitate lecture and lecturer in assist student with difficulty face,0.35119047619047616,-0.15476190476190477,Negative
initially team be not optimize but seem to have some performance improvement now in term of exam lecturer inform  that slight network disconnect packet loss may cause unintended submission of moodle exam working this just devastating if there be to be bandwidth issue,0.3888888888888889,-0.3888888888888889,Negative
honestly prefer offline class since there will be no delay overall online implementation do well but then again different experience than offline class,0.5,0.19999999999999998,Positive
good at least there record video that can be review,0.5,0.19999999999999998,Positive
everything okay except ask question or receive feedback from lecturer since student can t approach lecturer personally only option leave to send message email lecturer be not cope with such flood of query some of  would only take few minute to solve during physical class but day or even week on online mode,0.5404761904761904,0.049999999999999996,Positive
really need some non verbal communication make more comfortable,0.5,0.3666666666666667,Positive
online learn not too bad but certain subject be not easy to learn virtually,0.6011904761904762,-0.2172619047619047,Negative
love online learning implementation easy for to conduct daily class love,0.5083333333333333,0.35833333333333334,Positive
would still prefer physical class compare to online class because can see only few advantage like save time and transportation money but other than that would say utility bill go up force to upgrade wifi package due to slow internet connectivity and also end up into buy new laptop since all family member remotely work from home and  have only laptop leave eventually  have to spend about k for laptop k big money for  to spend during this financial crisis face lot of trouble but still course fee still same and university fail to help  student on bursary issue to conclude student be not really happy on online class thank ,0.3848268398268398,-0.1209090909090909,Negative
too easily distract in kind of situation,0.8666666666666667,0.5166666666666666,Positive
great to practise social distance and weak student could watch record but demotivating when device and connection drag,0.378125,0.08958333333333335,Positive
good to continue have class during,0.6000000000000001,0.7,Positive
too easily distract in kind of situation,0.8666666666666667,0.5166666666666666,Positive
can sometimes be non motivational due to many reason  be stay at home,0.4375,0.1875,Positive
lack of motivation but high convenience,0.5399999999999999,0.16,Positive
online learning be less immersive compare to physical class,0.10476190476190475,-0.08333333333333333,Negative
lecturer should do more preparation lecturer be too busy on  work and neglect student,0.4,0.3,Positive
not bad,0.6666666666666666,0.3499999999999999,Positive
more convenient compare to physical class but con knowledge or experience student can learn few than physical class like group discussion communicate with other or case study on class,0.2521428571428571,0.034999999999999996,Positive
university adapt surprisingly well from lockdown to immediate implementation of online learning feel like online learning can be good alternative for those who be not in malaysia or just lazy to attend physical class,0.5607142857142857,0.2875,Positive
beneficial to all student  can watch class record video with no limit and also convenient to student who have to take long time to travel to campus,0.4,-0.05,Negative
already very helpful for student to learn through this pandemic,0.3,0.2,Positive
great far,0.875,0.45,Positive
need to have more online resource for student to access,0.5,0.5,Positive
quite excellent,1.0,1.0,Positive
could be improve but overall be good personally prefer because save time and money since do not need to drive to campus,0.30000000000000004,0.2333333333333333,Positive
good,0.6000000000000001,0.7,Positive
good internet connectivity,0.6000000000000001,0.7,Positive
healthy and precautious method of continue process of learn in this current pandemic but few key area need to be take into consideration such student device performance  network infrastructure and  capability of embrace online learning,0.5,0.06,Positive
necessary due to covid situation but will prefer face to face learn more study without physical presence of friend and lecturer bit demotivating and hard,0.5119047619047619,0.016666666666666663,Positive
really stressful and receive education from online learn not effective physical learning in class,0.38095238095238093,-0.033333333333333326,Negative
good experience for online learn one thing that can of implement option for student to automatically download lesson video to  local device since microsoft not be able to store lesson video for long,0.40625,0.2875,Positive
already very helpful for student to learn through this pandemic,0.3,0.2,Positive
hard to pay attention in class but good that  can rewatch lecture video anytime,0.5708333333333333,0.20416666666666664,Positive
very excited to have online class,0.9750000000000001,0.48750000000000004,Positive
not far from expectation nothing special achieve basic need of class,0.5654761904761905,0.10238095238095239,Positive
would still prefer physical class compare to online class because can see only few advantage like save time and transportation money but other than that would say utility bill go up force to upgrade wifi package due to slow internet connectivity and also end up into buy new laptop since all family member remotely work from home and  have only laptop leave eventually  have to spend about k for laptop k big money for  to spend during this financial crisis face lot of trouble but still course fee still same and university fail to help  student on bursary issue to conclude student be not really happy on online class thank ,0.3848268398268398,-0.1209090909090909,Negative
good but sometime difficult to pass specific detail such math class,0.55625,0.04999999999999999,Positive
online learn perfect for new generation because save lot of time rather than go to uni and come back  can just take class and study after class without waste any minute,0.36363636363636365,0.23409090909090907,Positive
consider short time frame which have to move everything online combine with uncertainty and fluidity of covid pandemic especially during march april  have do good job,0.6333333333333334,0.2333333333333333,Positive
good,0.6000000000000001,0.7,Positive
online learn helpful for  study and able to graduate on time,0.625,0.5,Positive
not bad,0.6666666666666666,0.3499999999999999,Positive
will be distract easily,0.8333333333333334,0.43333333333333335,Positive
m have bit of trouble because everything fully online besides that there one time that teacher ask to download software tool provide by such microsoft visio and microsoft project professional but unfortunately have trouble get in touch with helpdesk until now still haven t get tool,0.39999999999999997,-0.16,Negative
for temporary basis seem good but not anymore not effective offline class,0.7000000000000001,0.19999999999999998,Positive
no more online class please,0.5,-0.25,Negative
implementation good,0.6000000000000001,0.7,Positive
online learn good but sometime too boring,0.8,-0.15000000000000002,Negative
can refer to online material lecture recording help learn many thing and especially student do not matter online learning implementation,0.75,0.25,Positive
not bad not good physical class,0.4698412698412698,-1.850371707708594e-17,Negative
quite bad internet connection for rural area student government still no action to assist online learn student to allow us study in good internet connection,0.3416666666666667,-0.012499999999999983,Negative
good thing ever happen to introvert who do not want to socialize,0.6000000000000001,0.7,Positive
this good way during pandemic,0.6000000000000001,0.7,Positive
there be only way to keep in touch with student during this serious situation must have self learn attitude on student to motivate ,0.8333333333333333,-0.16666666666666666,Negative
good alternative give unfortunate covid circumstance course material be provide online to compensate for physical learning class,0.580952380952381,0.06666666666666665,Positive
somehow test management and discipline of student because  need to control to do right thing on right time such attend class on time,0.5238095238095238,0.19047619047619047,Positive
some student prefer face face class instead of online much easy for student who prefer face to face to learn well,0.8333333333333334,0.43333333333333335,Positive
some student prefer face face class instead of online much easy for student who prefer face to face to learn well,0.8333333333333334,0.43333333333333335,Positive
strange,0.15,-0.05,Negative
strong network connection fast response from lecturer and teammate,0.6666666666666666,0.31666666666666665,Positive
good way to continue education however would prefer physical class there be inconvenience to online learning compare to physical education,0.29523809523809524,0.2333333333333333,Positive
not easy to learn through screen may sound simple but most of time find more distracting rather than do class live choose to watch recording later know most of friend sleep through class well do not feel like get university experience which long for,0.4433862433862434,0.19663299663299663,Positive
very helpful to continue  study,0.3,0.2,Positive
excellent,1.0,1.0,Positive
very good way and well choice for improve  study,0.7800000000000001,0.9099999999999999,Positive
excellent choice,1.0,1.0,Positive
very helpful for improve  study,0.3,0.2,Positive
refresh and more relaxing compare to physical class,0.3214285714285714,0.25,Positive
just good at least quite helpful,0.5,0.19999999999999998,Positive
very helpful for to study during pandemic,0.3,0.2,Positive
excellent,1.0,1.0,Positive
at least can be well to continue study rather than physical learning to stay safe,0.34761904761904766,0.06666666666666667,Positive
more relaxing than physical learning,0.3214285714285714,0.25,Positive
really like,0.2,0.2,Positive
effective for to study during pandemic while stay safe,0.65,0.55,Positive
pretty useful and helpful,0.5,0.275,Positive
excellent can be more relaxing to stay at home,0.75,0.75,Positive
not suitable for would prefer physical learning,0.4464285714285714,-0.1375,Negative
very helpful for to study can have more productivity and satisfying,0.6,0.39999999999999997,Positive
good but still need to improve more,0.55,0.6,Positive
unable to study due that have bad internet connection,0.5138888888888888,-0.4416666666666666,Negative
very convenient for haha that do not have to go to campus better to stay safe,0.4,0.35,Positive
able to study even with fair internet connectivity,0.7625,0.6,Positive
far quite good for,0.8,0.39999999999999997,Positive
little satisfied for to study,0.75,0.15625,Positive
very excited for to study again,0.9750000000000001,0.48750000000000004,Positive
totally love,0.6,0.5,Positive
work well perfectly for any student to continue,1.0,1.0,Positive
nice,1.0,0.6,Positive
great but stay strong and safe,0.6611111111111111,0.5777777777777778,Positive
very efficient for to continue study,0.3,0.2,Positive
very positive way for to continue learn efficiently,0.7090909090909091,0.29545454545454547,Positive
very helpful for and also positive to study better,0.4484848484848485,0.3090909090909091,Positive
excellent implementation for to study,1.0,1.0,Positive
very happy with online learning,1.0,1.0,Positive
feel difficult to study due that have bad internet connection,0.6805555555555555,-0.4416666666666666,Negative
very helpful for to study guess,0.3,0.2,Positive
just good far no problem for to handle study at home,0.8,0.39999999999999997,Positive
really love at least can be helpful for study,0.5,0.1,Positive
very comfortable for to study,1.0,0.52,Positive
very efficient for,0.3,0.2,Positive
quite nice since can allow  to study again but at home without go to campus,1.0,0.6,Positive
very helpful for study,0.3,0.2,Positive
able to study but sometime cause problem due to bad internet,0.5555555555555555,-0.10833333333333328,Negative
excellent choice for study,1.0,1.0,Positive
very effective choice for to study during pandemic,1.0,0.78,Positive
very helpful for study,0.3,0.2,Positive
good implementation allow  to study efficiently,0.6000000000000001,0.7,Positive
great choice for to study,0.75,0.8,Positive
highly useful for to continue pursue course,0.0,0.3,Positive
excellent,1.0,1.0,Positive
good but prefer physical learning,0.37142857142857144,0.35,Positive
would say that good for ,0.6000000000000001,0.7,Positive
very helpful for study,0.3,0.2,Positive
unable to study efficiently due that have bad connection and computer respond very slow,0.5154166666666666,-0.42874999999999996,Negative
would say that very efficient for,0.3,0.2,Positive
bad experience for because laptop do not function well,0.6666666666666666,-0.6999999999999998,Negative
would say that very efficient for to study,0.3,0.2,Positive
yea quite nice choice can study again,1.0,0.6,Positive
bad experience for,0.6666666666666666,-0.6999999999999998,Negative
very helpful for,0.3,0.2,Positive
not good,0.6000000000000001,-0.35,Negative
unable to study due to bad internet connectivity,0.5138888888888888,-0.4416666666666666,Negative
unable to study well because internet bad,0.5833333333333333,-0.5999999999999999,Negative
unable to study due to bad internet connectivity,0.5138888888888888,-0.4416666666666666,Negative
not suitable for because feel do not improve experience,0.75,-0.275,Negative
not really satisfy for,0.2,-0.1,Negative
feel satisfied to study again,1.0,0.5,Positive
seem okay for,0.5,0.5,Positive
great for,0.75,0.8,Positive
well but face lot of poor connection really hard for to continue,0.5708333333333333,-0.3458333333333333,Negative
bit difficult to study because of internet connectivity not good,0.8,-0.425,Negative
very difficult to keep study because of bad internet connection,0.8333333333333333,-0.6749999999999999,Negative
very suitable for  to study during outbreak,0.9750000000000001,0.7150000000000001,Positive
very flexible do not waste time to have class,0.15,0.15000000000000002,Positive
still long way but good choice for all education,0.5,0.32499999999999996,Positive
quite excellent since give well productivity and flexible,1.0,1.0,Positive
bad experience for,0.6666666666666666,-0.6999999999999998,Negative
not quite effective for,0.8,0.6,Positive
unable to study due that have bad internet connection,0.5138888888888888,-0.4416666666666666,Negative
good make flexible and do not waste time in class,0.30000000000000004,0.39999999999999997,Positive
good to continue have class during pandemic,0.6000000000000001,0.7,Positive
overall be good personally prefer because save time and money since do not need to drive to campus,0.30000000000000004,0.2333333333333333,Positive
overall be good personally prefer because save time and money since do not need to drive to campus,0.30000000000000004,0.2333333333333333,Positive
satisfied because can really prove useful for  well save resource,0.39999999999999997,0.3333333333333333,Positive
quite nice that can save resource for to manage living,1.0,0.6,Positive
good but still have poor internet,0.6000000000000001,0.14999999999999997,Positive
overall be good because can save time and money,0.30000000000000004,0.35,Positive
very efficient for to continue study,0.3,0.2,Positive
very helpful for manage  study and stay safe which very important,0.6,0.4066666666666667,Positive
yup  do not have any choice because of pandemic but this perfect for,1.0,1.0,Positive
totally great method actually quite excited,0.5333333333333333,0.39166666666666666,Positive
indeed useful can manage well on every class,0.0,0.3,Positive
quite satisfying for haha may be able to manage during pandemic,0.6416666666666667,0.39999999999999997,Positive
truly useful believe this can help other student like that be face difficulty too,0.1875,0.0875,Positive
very useful for to manage study and able to study efficiently,0.3125,0.445,Positive
unable to study due to technical issue,0.325,-0.20833333333333334,Negative
have difficulty to study due to technical issue,0.2375,-0.0625,Negative
unable to study well because have connection problem,0.5,-0.5,Negative
great to be able to continue study after high school,0.6383333333333333,0.48666666666666664,Positive
good experience for student to continue learn,0.6000000000000001,0.7,Positive
good experience for online learning,0.6000000000000001,0.7,Positive
very nice,1.0,0.78,Positive
really like implementation of online learning because allow to study during pandemic,0.2,0.2,Positive
very good experience for to continue pursue study,0.7800000000000001,0.9099999999999999,Positive
in opinion love implementation because allow  to study again during pandemic,0.6,0.5,Positive
good but sometime have connection issue that affect,0.6000000000000001,0.7,Positive
very efficient for any student to continue study,0.3,0.2,Positive
seem ok for,0.5,0.5,Positive
very good because make feel productive,0.7800000000000001,0.9099999999999999,Positive
very good experience for this implementation can cover for physical learning,0.4614285714285715,0.45499999999999996,Positive
okay but internet connection troublesome for and cause lag,0.5,0.5,Positive
quite efficient but often faced issue in internet connection that quite inconvenient for,1.0,-0.6,Negative
online learning implementation show potential advantage for student at first for instance student able to attend class with comfort at home reduce cost for student to travel to physical class online class be record student can refer back to previous class recording but extensive period of online class will have disadvantage lack or limitation of physical social interaction in online class affect student mental health which may lead to student have poor performance in class and assignment furthermore student may experience immense amount of stress which further deteriorate  mental health compare pro and con latter one weigh strong than former one,0.3555322128851541,0.026470588235294114,Positive
terrible online class be disaster for us university student,1.0,-1.0,Negative
quite satisfying for to continue learn,1.0,0.5,Positive
quite effective,0.8,0.6,Positive
very useful for,0.0,0.39,Positive
excellent,1.0,1.0,Positive
good and at least convenient for,0.5,0.19999999999999998,Positive
good but unable to study efficiently due to bad internet,0.5354166666666667,-0.15624999999999997,Negative
good,0.6000000000000001,0.7,Positive
fine for now,0.5,0.4166666666666667,Positive
very good but laptop face issue,0.7800000000000001,0.9099999999999999,Positive
suitable for but sometime get lag,0.75,0.55,Positive
just good,0.6000000000000001,0.7,Positive
well than physical learning and far quite helpful for,0.5714285714285714,0.05,Positive
very beneficial and flexible for   do not have any choice for physical environment,0.22142857142857142,0.1,Positive
well than face to face learn because  be able to recall lecture and practice ,0.625,0.5,Positive
quite new experience good to implement online learning during covid because progress will not be affect and there be some video to recall if  do not understand some of topic,0.5272727272727273,0.41818181818181815,Positive
good but still need long way to improve,0.5,0.32499999999999996,Positive
really feel excited for,0.475,0.2875,Positive
good but would still prefer face to face,0.6000000000000001,0.7,Positive
love,0.6,0.5,Positive
beneficial for but laptop too slow to response,0.39999999999999997,-0.30000000000000004,Negative
nice to implement online learning during covid because progress will not be affect and there be some video to recall if  do not understand some of topic,1.0,0.6,Positive
great because able to study even in own country,0.7916666666666666,0.6333333333333333,Positive
not really because not really comfortable with online learning,0.5,-0.15000000000000002,Negative
good but not effective face to face class,0.7000000000000001,0.19999999999999998,Positive
good for,0.6000000000000001,0.7,Positive
very refreshing for able to relax at home,0.8125,0.575,Positive
very nice and refreshing compare to physical class,0.7142857142857143,0.4266666666666667,Positive
good,0.6000000000000001,0.7,Positive
very helpful for able to continue study,0.4625,0.35,Positive
great since nowadays malaysia have very high case,0.726,0.504,Positive
surely helpful for ,0.8888888888888888,0.5,Positive
good but sometime have lag during class,0.6000000000000001,0.7,Positive
refresh and more relaxing compare to traditional learning,0.625,0.25,Positive
to be honest fairly good but laptop quite lag even though get good internet connection,0.7000000000000001,0.6666666666666666,Positive
not great compare to physical learning,0.4464285714285714,-0.2,Negative
very beneficial and flexible for   do not have any choice for physical environment,0.22142857142857142,0.1,Positive
great since pandemic have totally affect ,0.75,0.4,Positive
very helpful for since unable to travel to malaysia and this implementation really help to continue study,0.3333333333333333,-0.033333333333333326,Negative
just good,0.6000000000000001,0.7,Positive
very beneficial and flexible for   do not have any choice since country have lot of case,0.3,0.2,Positive
great because provide  flexibility,0.75,0.8,Positive
great but still unsure since have poor internet connection,0.675,0.2,Positive
quite big benefit for can be more proactive and productive,0.3,0.25,Positive
seem good for,0.6000000000000001,0.7,Positive
very helpful for become better with  study,0.4,0.35,Positive
not very good experience for,0.46153846153846156,-0.26923076923076916,Negative
quite difficult for to continue study since computer and laptop be quite slow also can not get new laptop because not enough fund,0.5886363636363636,-0.16590909090909092,Negative
in opinion great because currently malaysia have lot of case which force physical learning to be change into online learning,0.4309523809523809,0.26666666666666666,Positive
good but internet quite troublesome and irritate for because quite slow,0.5,0.19999999999999996,Positive
very helpful for,0.3,0.2,Positive
quite satisfying for and excellent implementation,1.0,0.75,Positive
great but have issue in laptop not sure what kind of technical issue but irritate quite often even though get good connection,0.6477777777777778,0.37,Positive
indeed well to have this method can feel more relaxing,0.5,0.5,Positive
better relax compare to physical class,0.3214285714285714,0.25,Positive
indeed quite excited to continue study,0.75,0.375,Positive
just good enough,0.55,0.35,Positive
not good for because prefer physical learning,0.37142857142857144,-0.175,Negative
really great,0.75,0.8,Positive
not very good experience for because unable to experience university life in campus,0.4807692307692308,-0.3846153846153846,Negative
seem good and just fine,0.55,0.5583333333333333,Positive
online learning method good but can not be help since  have in malaysia,0.6000000000000001,0.7,Positive
not really because unable to experience university life in campus,0.35,-0.3,Negative
very good and excellent method,0.8900000000000001,0.955,Positive
good method for continue process of learn in this current pandemic but few key area need to be take into consideration such student device performance  network infrastructure and  capability of embrace online learning,0.52,0.09999999999999999,Positive
fine for,0.5,0.4166666666666667,Positive
not suitable for would highly prefer physical learning,0.4776190476190476,-0.03833333333333334,Negative
need to have more online resource for student to access,0.5,0.5,Positive
great but problem that all device be quite slow,0.575,0.25,Positive
feel good but eager to play sport in campus,0.6000000000000001,0.7,Positive
quite convenient but prefer to have more online resource for,0.5,0.5,Positive
personally that difficult to adapt to situation while study and attend online class,0.65,-0.25,Negative
great but need to to adapt to situation when attend online learning class,0.75,0.8,Positive
not quite effective like face to face class but no choice for since stay in own country,0.9,0.6,Positive
online learn good platform but if let say  do some module which may require more face to face attention then will be hard other wise not issue,0.5833333333333333,0.29666666666666663,Positive
more activity can be do virtually,0.5,0.5,Positive
still good but something can be improve to reduce difficulty in achieve learn outcome,0.6000000000000001,0.7,Positive
implementation of online learning have own good and bad allow student and lecturer to save time and money from transportation to campus but  would sometimes face issue such have bad internet connection or hardware failure which cause  to be unable to fully focus in  class well,0.6047619047619046,-0.13095238095238093,Negative
since there nothing  can do about covid but for online learn m pretty can improve better to provide well experience,0.75,0.375,Positive
agree for online learning implementation during this pandemic pro of online learning that  be able to watch recording of class if absent or if  want to revise class however there be few con here first internet will be lag sometimes second not everyone have  own study corner in  house and this will definitely disrupt for those who don t have third  be not able to communicate with student and lecturer face to face which cause less effectiveness during discussion,0.36111111111111116,0.08148148148148147,Positive
